"quarter","Ticker","Name","Industry","buy/sell(mil $)"
"1Q23","FLO","Flowers Foods Inc","Consumer Staples",-5.7
"1Q23","KBAL","Kimball International Inc","Industrials",-5.7
"1Q23","RSG","Republic Services Inc","Industrials",-5.6
"1Q23","SJM","J M Smucker Co","Consumer Staples",-5.6
"1Q23","UAL","United Airlines Holdings Inc","Industrials",-5.6
"1Q23","BAM","BROOKFIELD ASSET MANAGEMENT LTD","Financials",-5.5
"1Q23","FORG","ForgeRock Inc","Information Technology",-5.5
"1Q23","HAE","Haemonetics Corp","Health Care",-5.5
"1Q23","ARE","Alexandria Real Estate Equities Inc","Real Estate",-5.4
"1Q23","OGS","ONE Gas Inc","Utilities",-5.4
"1Q23","AVT","Avnet Inc","Information Technology",-5.3
"1Q23","HCSG","Healthcare Services Group Inc","Industrials",-5.3
"1Q23","LECO","Lincoln Electric Holdings Inc","Industrials",-5.3
"1Q23","VRA","Vera Bradley Inc","Consumer Discretionary",-5.3
"1Q23","CHKP","Check Point Software Technologies Ltd","Information Technology",-5.2
"1Q23","ESGR","Enstar Group Ltd","Financials",-5.2
"1Q23","FMC","FMC Corp","Materials",-5.2
"1Q23","MAT","Mattel Inc","Consumer Discretionary",-5.2
"1Q23","ORLY","O'Reilly Automotive Inc","Consumer Discretionary",-5.2
"1Q23","DTOC","Digital Transformation Opportunities Corp","NULL",-5.1
"1Q23","MOD","Modine Manufacturing Co","Consumer Discretionary",-5.1
"1Q23","ACLS","Axcelis Technologies Inc","Information Technology",-5
"1Q23","IDCC","InterDigital Inc","Information Technology",-5
"1Q23","MLR","Miller Industries Inc","Industrials",-5
"1Q23","MUR","Murphy Oil Corp","Energy",-4.9
"1Q23","NXST","Nexstar Media Group Inc","Communication Services",-4.9
"1Q23","FOXA","Fox Corp","Communication Services",-4.8
"1Q23","RADI","Radius Global Infrastructure Inc","Communication Services",-4.8
"1Q23","CLF","Cleveland-Cliffs Inc","Materials",-4.7
"1Q23","ESNT","Essent Group Ltd","Financials",-4.7
"1Q23","PEGA","Pegasystems Inc","Information Technology",-4.7
"1Q23","PHM","Pultegroup Inc","Consumer Discretionary",-4.7
"1Q23","TTC","Toro Co","Industrials",-4.7
"1Q23","VSTO","Vista Outdoor Inc","Consumer Discretionary",-4.7
"1Q23","ADSK","Autodesk Inc","Information Technology",-4.6
"1Q23","HWM","Howmet Aerospace Inc","Industrials",-4.6
"1Q23","LFUS","Littelfuse Inc","Information Technology",-4.6
"1Q23","AFL","Aflac Inc","Financials",-4.5
"1Q23","CLB","Core Laboratories NV","Energy",-4.5
"1Q23","ROL","Rollins Inc","Industrials",-4.5
"1Q23","HP","Helmerich and Payne Inc","Energy",-4.4
"1Q23","ONB","Old National Bancorp","Financials",-4.4
"1Q23","VSH","Vishay Intertechnology Inc","Information Technology",-4.3
"1Q23","WDS","Woodside Energy Group Ltd","Energy",-4.3
"1Q23","ZS","Zscaler Inc","Information Technology",-4.3
"1Q23","NOW","ServiceNow Inc","Information Technology",-4.2
"1Q23","POST","Post Holdings Inc","Consumer Staples",-4.2
"1Q23","RUSHA","Rush Enterprises Inc","Industrials",-4.2
"1Q23","WRK","Westrock Co","Materials",-4.2
"1Q23","ADI","Analog Devices Inc","Information Technology",-4.1
"1Q23","CLS","Celestica Inc","Information Technology",-4.1
"1Q23","ERF","Enerplus Corp","Energy",-4.1
"1Q23","LEN","Lennar Corp","Consumer Discretionary",-4.1
"1Q23","LIVN","LivaNova PLC","Health Care",-4.1
"1Q23","SUI","Sun Communities Inc","Real Estate",-4.1
"1Q23","JKHY","Jack Henry & Associates Inc","Financials",-4
