"quarter","Ticker","Name","Industry","buy/sell(mil $)"
"4Q21","AMCR","Amcor PLC","Materials",0.3
"4Q21","AMOT","Allied Motion Technologies Inc","Industrials",0.3
"4Q21","ASTL","Algoma Steel Group Inc","Materials",0.3
"4Q21","ATEN","A10 Networks Inc","Information Technology",0.3
"4Q21","ATEX","Anterix Inc","Communication Services",0.3
"4Q21","ATO","Atmos Energy Corp","Utilities",0.3
"4Q21","AVXL","Anavex Life Sciences Corp","Health Care",0.3
"4Q21","BFAM","Bright Horizons Family Solutions Inc","Consumer Discretionary",0.3
"4Q21","BKU","BankUnited Inc","Financials",0.3
"4Q21","BLNK","Blink Charging Co","Industrials",0.3
"4Q21","BOH","Bank of Hawaii Corp","Financials",0.3
"4Q21","BOOT","Boot Barn Holdings Inc","Consumer Discretionary",0.3
"4Q21","BRC","Brady Corp","Industrials",0.3
"4Q21","CAR","Avis Budget Group Inc","Industrials",0.3
"4Q21","CCNE","CNB Financial Corp","Financials",0.3
"4Q21","CHEF","Chefs' Warehouse Inc","Consumer Staples",0.3
"4Q21","CODI","Compass Diversified Holdings","Financials",0.3
"4Q21","CPK","Chesapeake Utilities Corp","Utilities",0.3
"4Q21","CRK","Comstock Resources Inc","Energy",0.3
"4Q21","DXYN","Dixie Group Inc","Consumer Discretionary",0.3
"4Q21","ERIE","Erie Indemnity Co","Financials",0.3
"4Q21","EVRG","Evergy Inc","Utilities",0.3
"4Q21","FCNCA","First Citizens BancShares Inc (Delaware)","Financials",0.3
"4Q21","GDOT","Green Dot Corp","Financials",0.3
"4Q21","GENI","Genius Sports Ltd","Consumer Discretionary",0.3
"4Q21","GXO","GXO Logistics Inc","Industrials",0.3
"4Q21","HLIT","Harmonic Inc","Information Technology",0.3
"4Q21","IHRT","iHeartMedia Inc","Communication Services",0.3
"4Q21","INVA","Innoviva Inc","Health Care",0.3
"4Q21","IPI","Intrepid Potash Inc","Materials",0.3
"4Q21","JBL","Jabil Inc","Information Technology",0.3
"4Q21","LAC","Lithium Americas Corp","Materials",0.3
"4Q21","LMAT","LeMaitre Vascular Inc","Health Care",0.3
"4Q21","LXU","LSB Industries Inc","Materials",0.3
"4Q21","MKC","McCormick & Company Inc","Consumer Staples",0.3
"4Q21","MNTX","Manitex International Inc","Industrials",0.3
"4Q21","MP","MP Materials Corp","Materials",0.3
"4Q21","MTRX","Matrix Service Co","Industrials",0.3
"4Q21","NYT","New York Times Co","Communication Services",0.3
"4Q21","ONTO","Onto Innovation Inc","Information Technology",0.3
"4Q21","PI","Impinj Inc","Information Technology",0.3
"4Q21","PLCE","Children's Place Inc","Consumer Discretionary",0.3
"4Q21","PLPC","Preformed Line Products Co","Industrials",0.3
"4Q21","PNFP","Pinnacle Financial Partners Inc","Financials",0.3
"4Q21","RUTH","Ruth's Hospitality Group Inc","Consumer Discretionary",0.3
"4Q21","RYAN","Ryan Specialty Holdings Inc","Financials",0.3
"4Q21","SMAR","Smartsheet Inc","Information Technology",0.3
"4Q21","SOI","Solaris Oilfield Infrastructure Inc","Energy",0.3
"4Q21","SON","Sonoco Products Co","Materials",0.3
"4Q21","SRI","Stoneridge Inc","Consumer Discretionary",0.3
"4Q21","TTMI","TTM Technologies Inc","Information Technology",0.3
"4Q21","TWIN","Twin Disc Inc","Industrials",0.3
"4Q21","UMC","United Microelectronics Corp","Information Technology",0.3
"4Q21","VIAO","VIA Optronics AG","Information Technology",0.3
"4Q21","VIRT","Virtu Financial Inc","Financials",0.3
"4Q21","WMS","Advanced Drainage Systems Inc","Industrials",0.3
"4Q21","WSM","Williams-Sonoma Inc","Consumer Discretionary",0.3
"4Q21","XERS","Xeris Biopharma Holdings Inc","Health Care",0.3
"4Q21","ACCO","ACCO Brands Corp","Industrials",0.2
"4Q21","ADTN","ADTRAN Holdings Inc","Information Technology",0.2
"4Q21","AEHR","Aehr Test Systems","Information Technology",0.2
"4Q21","AFG","American Financial Group Inc","Financials",0.2
"4Q21","ALGT","Allegiant Travel Co","Industrials",0.2
"4Q21","AMP","Ameriprise Financial Inc","Financials",0.2
"4Q21","AMSF","Amerisafe Inc","Financials",0.2
"4Q21","AP","Ampco-Pittsburgh Corp","Materials",0.2
"4Q21","ASC","Ardmore Shipping Corp","Energy",0.2
"4Q21","AU","AngloGold Ashanti Ltd","Materials",0.2
"4Q21","AXON","Axon Enterprise Inc","Industrials",0.2
"4Q21","BATRK","Liberty Media Corp","Communication Services",0.2
"4Q21","BEAM","Beam Therapeutics Inc","Health Care",0.2
"4Q21","BKI","Black Knight Inc","Information Technology",0.2
"4Q21","BRBR","Bellring Brands Inc","Consumer Staples",0.2
"4Q21","BW","Babcock & Wilcox Enterprises Inc","Industrials",0.2
"4Q21","DECK","Deckers Outdoor Corp","Consumer Discretionary",0.2
"4Q21","DSEY","Diversey Holdings Ltd","Materials",0.2
"4Q21","DSGX","Descartes Systems Group Inc","Information Technology",0.2
"4Q21","DSX","Diana Shipping Inc","Industrials",0.2
"4Q21","EBMT","Eagle Bancorp Montana Inc","Financials",0.2
"4Q21","EVC","Entravision Communications Corp","Communication Services",0.2
"4Q21","FARM","Farmer Bros Co","Consumer Staples",0.2
"4Q21","FTNT","Fortinet Inc","Information Technology",0.2
"4Q21","GEO","Geo Group Inc","Industrials",0.2
"4Q21","GIB","CGI Inc","Information Technology",0.2
"4Q21","GLDD","Great Lakes Dredge & Dock Corp","Industrials",0.2
"4Q21","HOPE","Hope Bancorp Inc","Financials",0.2
"4Q21","HUBB","Hubbell Inc","Industrials",0.2
"4Q21","HWKN","Hawkins Inc","Materials",0.2
"4Q21","INSE","Inspired Entertainment Inc","Consumer Discretionary",0.2
"4Q21","LGND","Ligand Pharmaceuticals Inc","Health Care",0.2
"4Q21","LILAK","Liberty Latin America Ltd","Communication Services",0.2
"4Q21","LMNR","Limoneira Co","Consumer Staples",0.2
"4Q21","LOPE","Grand Canyon Education Inc","Consumer Discretionary",0.2
"4Q21","LSCC","Lattice Semiconductor Corp","Information Technology",0.2
"4Q21","MAC","Macerich Co","Real Estate",0.2
"4Q21","MCS","Marcus Corp","Communication Services",0.2
"4Q21","MCW","Mister Car Wash Inc","Consumer Discretionary",0.2
"4Q21","MMI","Marcus & Millichap Inc","Real Estate",0.2
"4Q21","MMSI","Merit Medical Systems Inc","Health Care",0.2
"4Q21","NSSC","NAPCO Security Technologies Inc","Information Technology",0.2
"4Q21","NUS","NU Skin Enterprises Inc","Consumer Staples",0.2
"4Q21","NVEE","NV5 Global Inc","Industrials",0.2
"4Q21","OII","Oceaneering International Inc","Energy",0.2
"4Q21","ORGO","Organogenesis Holdings Inc","Health Care",0.2
"4Q21","OUT","OUTFRONT Media Inc","Real Estate",0.2
